users_mac,users_name,users_email,users_ugroup
-101424,23889,94320,6
-41613,25505,37567,2
-42369,6628,14392,5
404264,13511,71341,4
593984,92897,31738,2
-78993,33870,93341,6
93636,62960,41549,4
-11859,98731,41360,1
1553338,84925,18845,6
85366,49577,85415,5
-15049,2926,87984,1
60748,51486,58310,3
27252,24277,59338,3
-40800,93061,49457,5
48352,58035,68707,1
53244,72404,36488,4
67001,46778,52710,1
-74722,37468,20475,2
48205,3796,22112,2
-17204,34554,95342,4
-38149,57613,66031,7
88029,66949,2702,6
-11166,65737,16991,5
-15049,25821,52325,1
10084,96651,19991,7
-15049,44504,62574,1
-76293,9167,48902,2
2592,54433,50844,7
129893,3815,24325,5
1038510,58657,31128,1
129450,27066,49405,7
32788,3235,48960,1
94365,558,81563,4
-21720,87825,49559,1
-1089311,5113,6367,7
685143,61077,10114,7
27654,99445,11343,3
29755,17849,20663,3
-53207,32182,81028,4
26075,4572,57925,3
15027,58499,6842,3
34522,87143,85956,6
-1275650,71506,49037,3
-92096,81513,27581,7
-34547,45771,1055,7
26519,81885,55310,2
-26260,57077,44197,1
-36078,30942,33756,5
-43831,85889,73196,4
651653,39852,53879,1
94445,33642,44745,3
20484,64659,73260,1
-27905,27698,16553,5
32550,47654,89008,2
-28617,65797,40967,4
38914,88522,73608,3
-42369,92594,8382,2
96165,42526,20042,6
73302,56486,68907,6
27176,27427,76352,1
23878,55233,58041,4
23455,89125,65385,2
75251,19565,81691,1
42661,96845,67558,1
-403352,9413,53072,1
91955,96696,90248,7
15820,6440,79677,2
52689,10075,51211,3
-33180,59766,59846,4
10447,44317,2850,1
-34395,39360,75031,1
53244,91511,73873,1
-18356,14009,73100,3
-68703,79734,46658,1
18716,26558,66128,2
92546,17681,91297,3
-74733,27543,2727,3
-15049,57577,99325,6
-97508,51808,79349,2
-40118,63554,64384,6
-35917,81165,98127,1
-10954,55367,45941,4
-34705,41264,3923,7
19444,43493,9232,3
-73133,63810,19920,5
1163882,60363,37938,3
-914016,3783,45173,4
-15049,17853,83793,2
-42130,44078,9419,2
96165,76997,40800,6
65405,5056,2244,7
-68790,90293,18815,1
-15049,95109,83646,6
-95853,34674,35276,2
-83334,21446,84685,3
1141207,46510,92125,4
-83833,22431,80689,7
-24379,80618,5271,7
77011,17435,21972,7
53244,97520,62557,5
-42369,11893,62548,2
-35917,10092,53968,3
-42369,55151,97787,2
-53875,6923,86070,2
-6768,16377,58407,7
41842,26455,21880,4
25942,49091,32788,1
-42369,89751,87983,2
-104,4470,34768,2
15027,93684,64309,4
-40800,57092,67159,3
-33281,62753,70961,3
-37550,4031,64781,7
-45490,44104,56008,1
-17246,31722,46595,5
1156066,55842,92284,4
-58125,52542,38408,1
12372,83115,41944,7
-40800,74680,74889,7
-76631,13159,75314,7
87961,64317,49141,1
15027,54424,63403,4
-955020,96531,82652,6
-66780,2480,48960,3
1002,8140,2770,4
-52615,83214,28769,1
96165,97426,14629,6
22340,95151,33424,2
-89421,4594,10656,6
56033,88582,18697,2
35375,27929,34773,1
79800,63909,1362,7
8435,56020,51680,6
72600,84450,71888,3
95291,1476,6513,3
-42369,10049,85778,5
2201,859,94046,4
71754,56988,81447,4
65437,87420,48430,1
77215,2732,12427,6
36321,79163,96343,5
-41786,77884,4817,5
96165,3172,25134,6
584078,47276,95121,1
96165,54870,33067,4
1471,85860,26614,3
88004,73304,81451,7
-33666,49318,55257,6
-433772,27770,22857,4
12653,14934,73219,5
1553338,70954,66201,4
49665,5811,17013,7
4864,87809,97136,3
-89900,49622,57448,3
667312,99108,3952,4
-6194,57751,78341,2
-68202,83004,266,1
-12617,57256,57138,7
-67876,84114,3721,5
8861,95535,37655,1
-74930,57783,95122,7
-718194,85891,18875,3
964682,60603,41381,3
-91374,1239,30657,4
320979,43711,51214,3
15027,45500,22888,1
18222,41138,79602,6
62750,84829,76795,3
-65534,8571,23000,7
-40790,67492,68623,2
37539,60674,28069,4
-15122,99820,34031,3
-31672,87982,8644,2
35961,82789,66059,2
15027,54235,32535,2
96165,71076,21135,3
-82445,89661,1909,7
88305,68550,44896,1
-96426,52539,61775,6
-98225,59987,552,2
96165,84440,12628,3
784406,18723,55803,7
-1974,56487,26235,3
-26121,49340,50900,1
-70618,42056,31643,2
1074304,9069,22974,4
-40800,11490,86014,6
5298,61376,54099,7
-92345,18686,59350,2
52966,84999,17656,4
-74589,5528,70466,4
45460,91269,34249,1
-89669,66933,50489,5
-144738,87241,31814,7
25091,98231,83633,7
-82298,87132,72490,3
71748,12550,91890,6
232833,33480,16757,3
72885,67607,41068,6
75453,71429,19469,5
53104,11184,47691,5
-6589,20746,46668,7
89298,7846,98598,1
51309,44335,4510,1
354447,65440,10988,5
-1439806,9842,69783,1
32863,3936,93681,5
-53331,90155,52710,5
36550,25956,10507,4
1151440,24263,9393,4
15027,80818,70539,1
95346,44398,21021,4
-73442,3229,61515,2
-72825,73931,92678,6
-24639,6880,65552,4
-45470,75650,75002,4
-91374,89958,15221,4
209335,9328,71539,6
-42369,65952,9857,2
-26969,71201,48679,2
86068,28317,36832,2
-12649,25073,18054,7
460283,50634,45450,5
90000,97543,5413,6
15027,37521,52650,6
-48832,32900,86893,4
53244,11105,48374,1
15027,45403,3965,1
1377066,69151,61768,4
2212,22139,34178,7
-66780,71835,36433,6
85379,34498,44436,5
47026,47543,9622,4
15027,73925,25538,5
-81701,12140,56976,3
-43702,43525,87413,6
64322,36089,72240,3
97658,3220,65270,7
61481,9147,47941,6
-42369,35285,26270,5
15027,80627,22582,5
62858,82001,20314,1
58235,55016,43317,1
-80277,13432,10790,7
92807,76843,16200,3
57860,33379,14637,7
-22627,70850,29674,6
60339,47065,24169,5
-66193,6292,63447,6
-997453,23020,82295,6
-91374,42446,62344,3
646871,15259,70050,3
750403,27837,70477,3
69051,79995,58695,4
24170,65712,84304,1
-539,22711,97188,2
1553338,5583,51327,6
-5190,71099,32884,4
-1028771,45161,11989,4
59375,28075,9786,2
-30194,15967,45333,2
902330,32412,56397,7
50841,24352,87429,2
27928,94323,31899,5
-405317,19298,74171,2
-1111934,93739,6904,4
-42369,97811,90241,7
921757,39379,88639,3
2899,97853,79334,5
-28034,73682,77925,6
-718194,9021,10933,3
33394,57275,61432,1
-113307,8408,27566,6
57039,54294,80991,7
57165,24366,56871,1
-22278,72800,51029,1
-51152,69297,67075,4
-50139,86279,19218,5
96165,76262,66903,1
-32514,50787,82680,3
-74522,66200,28199,5
96165,24558,86198,2
-57006,57955,54126,5
-648363,39897,33348,6
-7936,2020,83953,4
-76293,89923,96208,5
61302,16093,21957,5
77716,91658,72753,1
-49757,46522,63814,5
-13737,41313,22452,6
-34297,7888,76382,7
-58042,85466,51785,4
-86092,54012,9102,4
77610,91663,81777,1
-75567,11981,21873,3
31061,78484,39368,1
-718194,11832,62534,2
61662,94960,73707,7
-673734,21420,33056,5
-2229,53724,11881,3
92528,90750,61738,5
16544,73089,92128,6
96165,42603,35940,5
-91374,83993,39652,4
422173,96525,43964,4
-83870,50237,34706,3
-539,93578,38288,5
5201,82491,41247,1
-525973,56817,35095,5
93217,82665,63007,1
-66331,69620,5111,2
834395,57327,57694,5
65857,7146,12471,4
-42369,80957,2799,4
-50275,27372,97934,4
96165,81548,8916,1
45161,23574,5187,4
46647,57760,80673,3
-92858,98723,49130,2
4508,44492,21871,6
-59610,31662,77171,1
-28617,38587,35284,4
96165,28685,70775,1
-297155,18182,1436,5
203,92507,66314,6
23962,66494,63480,6
47987,97589,8605,1
29725,25251,87226,6
58186,43608,75285,1
-32206,50945,72847,5
-21411,59477,69177,1
4902,67985,60421,4
-31085,31092,18990,6
-73981,41427,74693,4
-1770,85888,18203,1
-69106,7183,16727,1
4201,89516,98661,2
-19428,89098,36051,6
79162,12544,35735,4
16974,16027,76250,2
1311720,44229,63883,5
1982,64517,64092,2
92124,78744,72603,1
-48826,47937,90668,6
-32180,4012,9990,2
71507,70687,95403,4
42822,28785,42475,7
7488,59216,93191,3
-88975,99128,97922,5
-44871,29430,65220,1
96165,60498,36101,3
-502729,21742,70193,5
-6768,75291,3579,7
15027,69872,77477,2
96165,69077,85394,5
-39711,83564,8019,5
-78907,45382,55730,1
36104,54265,6657,6
-50946,30406,18491,7
92568,77280,60007,2
-42369,43474,48980,7
1057561,41729,28198,4
87727,29666,54191,6
-83622,76812,93037,2
-1041563,17851,78867,7
-357830,14013,32529,6
738776,50182,96878,2
-9598,30282,11594,1
-47144,90063,49156,6
34604,42157,89990,4
57740,81110,81172,3
15169,45885,61821,2
55620,30238,17670,5
-718194,70260,13988,7
82633,60219,30360,2
-15049,77931,88061,3
-338931,97899,93197,6
79800,97854,80541,2
-766162,57762,38653,5
-1085810,35106,56048,7
-44488,33016,35419,7
-5811,58519,18907,1
61466,67577,28404,3
2227,41531,19831,4
93941,49002,67132,4
-42369,96352,7119,1
47872,23846,19901,4
80746,92098,34165,5
95533,43431,17653,6
-77573,96257,62442,5
57165,15556,34041,3
-1263726,49012,10719,3
37070,79903,780,3
512139,68123,50315,3
-98328,16692,6175,2
73757,7848,89627,2
-12470,88313,82490,5
-995056,90019,90676,5
-84797,98177,6278,4
4508,90647,26410,7
-1176884,86577,79675,1
30237,27845,24154,2
38217,95809,24117,1
-42369,57978,65729,1
-80043,17379,31701,6
-74677,43256,77575,7
-1166986,38640,64870,2
96165,44924,76356,3
17056,99355,84238,5
36175,74466,39291,5
1345617,3705,86013,7
1315690,49386,15601,3
15027,335,69141,2
92261,4172,93264,7
35473,30401,49964,5
-78548,47256,42792,3
87964,38430,29986,5
71738,40989,79982,1
51938,5791,31339,3
-31030,92775,24724,4
20762,42812,238,7
-35534,51680,97339,2
-41403,22027,1801,7
-42369,26688,75876,6
58053,28931,21456,5
-40800,73955,95275,4
15027,54443,70792,6
-48125,91094,20669,2
-49474,31841,2396,1
-29761,42943,13391,7
66579,22932,54382,1
-34817,73726,71224,6
-12606,46226,86698,3
85174,90776,3397,3
35354,12893,5982,5
11482,66249,58663,5
27525,79837,37017,4
685385,9519,4415,6
-718194,8404,71966,7
460283,30991,81597,7
-42369,11430,82811,2
-90758,78146,3876,6
15027,2389,25095,7
96165,57674,20020,5
66304,69636,27425,2
11253,70156,42290,1
1025262,60631,83314,1
301257,99784,22145,1
4902,69275,49162,7
7701,46062,2330,3
15027,98085,56636,6
96165,1257,55445,7
-61366,64404,49773,6
38410,78340,34686,6
53244,19760,9957,3
-691256,87072,45665,6
71987,75512,62449,3
7486,81625,19297,1
36937,82408,74457,3
1451849,44573,43398,3
41502,10310,74970,4
-1087859,83274,17787,4
96165,1010,69621,3
-7552,36481,60617,7
58336,92142,66372,1
-42369,30876,70901,1
517322,73079,65266,2
96165,90527,36063,7
53104,7858,22129,6
6981,80754,10951,1
92528,67081,82753,4
13646,92024,42915,5
93197,85260,88685,4
-95714,89763,39044,3
-77990,72662,63183,2
-1253348,72638,59887,5
60748,43632,94372,6
96165,33830,95514,1
-89303,25766,31275,7
23990,85056,28122,4
7257,53024,7879,1
-314159,7264,36171,7
-74589,80818,75249,5
629439,44383,50898,1
81537,94522,64229,5
-161,94152,79225,4
57397,30201,43016,5
77308,81083,33118,1
-15049,53730,31034,5
-74384,67519,79245,4
-15049,459,19399,2
-57411,30012,27772,5
72397,57085,25948,1
-1209574,60975,41369,1
-82742,87348,24760,6
53244,43124,84477,2
53244,86544,89856,2
-26121,7685,97540,7
-37188,9740,23528,1
1353007,2945,36627,7
-66242,98581,12090,6
-11166,58638,70145,7
34405,28357,32808,1
-917395,11537,94272,6
-41863,26995,52085,2
96165,7882,57573,4
50253,60424,22977,2
-37188,26377,28755,2
-328382,82089,25300,4
-85436,84422,87873,5
38134,54779,87886,5
-15049,48976,88924,7
57278,13847,11698,1
35375,99211,86361,7
53244,37813,26634,6
1229480,44382,65709,4
908864,43394,3858,3
22901,60790,78953,7
89360,41940,166,1
1553338,64031,41502,2
-26018,45986,19814,1
-15184,27595,16067,2
18181,90329,61277,6
-1275650,53512,56175,7
1092560,11258,63390,1
1553338,46678,71089,5
28132,98576,82363,3
129893,39796,20507,1
-34185,77232,6813,1
10953,79463,5546,6
-15049,91248,99100,1
135923,94350,64932,6
-93943,90087,86779,4
-91734,73459,11603,3
51600,7876,84600,1
79240,62289,31496,3
23582,95407,45323,6
-35470,5609,77563,7
58284,54045,67973,4
-67956,86676,34003,2
72939,86558,51010,5
-1534184,47674,86262,4
85794,73259,10021,2
-82298,17446,66888,2
-4304,48603,92725,7
-78274,16677,17664,2
-16979,41428,10975,6
831333,62024,56037,1
-18412,45631,1415,3
13446,20557,77000,3
53244,15291,38704,7
673175,74424,93465,2
73587,41845,73231,3
-29761,30225,94876,2
460283,77966,77510,1
-40800,10843,5549,7
1091352,81067,56103,7
-718194,91025,14565,1
53244,70968,46600,7
1354851,43321,64350,6
40627,60342,50180,1
-86769,50882,86729,2
1299649,67179,61903,7
28385,21266,80303,3
-42369,14401,88646,4
-42212,38275,23841,6
1327412,74074,12563,1
54059,38762,84913,2
-1733,81340,20341,2
18994,46390,65498,1
-98319,37510,84208,2
-49027,68615,2124,7
-33761,61907,19612,6
66208,41939,33151,4
-86763,52787,96275,5
96165,58649,65731,1
-718194,38993,40472,2
-18516,57107,17525,2
25762,26192,14432,3
-67168,7457,77242,2
1553338,23186,39074,3
-31115,67922,88149,3
51687,66500,31096,4
-20054,88229,43347,5
15027,9078,45861,5
48056,79378,51183,5
-56831,33131,44098,2
-1089311,74000,77180,6
-60437,91457,42370,6
69827,20499,93686,4
-900820,41235,45991,2
-7239,29593,99309,4
-992389,87157,57489,4
-52535,39896,14442,5
-88275,76060,15882,6
-1359043,93761,83161,2
44479,12083,24412,6
7067,36571,21777,7
64168,28208,3348,5
-1543428,29390,50389,6
96165,23361,46046,6
-41536,62557,45023,2
53244,64396,94250,3
96165,35362,32701,1
15027,32603,38622,2
-54314,56430,44834,5
-296211,24076,27002,1
-15049,93326,82536,1
30691,9065,68588,5
-281789,24977,44796,2
-40800,51291,97345,1
89298,11319,43789,3
-39820,4999,32435,5
94920,67005,94345,4
-89969,52447,97019,2
11166,12136,51500,3
-17989,34140,86643,1
51924,26963,61511,2
84411,67685,70149,7
-37599,57314,59653,7
-47634,75339,83530,3
-62895,45237,28050,7
72802,16299,72025,2
-32186,44638,76067,5
-79535,69891,43331,2
7102,52217,10000,4
-43432,47781,77235,1
43137,29605,92827,6
-65664,99306,50197,4
11442,99374,91032,5
-16477,83184,28371,4
-35917,33336,22842,1
905435,63045,54083,2
-76397,77446,56720,4
-665,39233,25848,1
-27533,36072,27845,2
35375,52192,20866,5
19682,27622,4954,5
63332,79046,50820,6
-48223,37777,12886,5
-624400,28214,50526,5
-1226069,55062,9383,7
-42369,55212,52380,1
30539,44771,37687,6
15027,76288,20477,7
1082520,41196,19273,3
-19428,91500,68552,5
29725,57055,50000,3
-192218,7841,46953,4
982349,25427,86014,1
-38868,87762,6143,6
-86478,26686,33100,1
-504034,724,77324,4
129893,81669,82004,4
-40800,61270,3389,4
29249,45674,93176,1
-983426,45978,7809,1
-277,71614,75096,1
31462,77843,37432,5
60748,99826,23268,1
51600,70815,18656,3
1307223,1243,21019,7
-60281,83281,66448,1
943572,18462,76402,4
52104,68316,56192,5
-1059050,48268,15960,7
247457,76608,18368,4
-84797,12008,80227,1
21127,80608,67056,6
50841,27510,61662,7
-15782,30359,68399,7
7979,86521,54428,2
27764,22659,91349,6
22101,15396,82170,3
-41785,50638,85832,4
-78567,12487,26705,3
16650,31067,91636,4
13646,48193,7043,1
-84767,18310,48457,5
-28239,44906,36381,2
1553338,93968,14034,2
86716,15636,24789,1
44121,6529,79309,2
-40800,61825,39887,5
84197,74371,76987,7
-60723,45248,21727,7
15027,8674,8535,2
53244,32190,63865,1
676980,47469,37815,4
97491,86202,97939,4
58318,696,5994,4
276999,16879,63525,1
16294,40384,77150,2
37377,43683,74041,1
-42369,24524,85789,1
-43416,27337,28886,6
75515,56088,3786,4
82680,76387,44071,2
-37658,51676,60206,2
460283,4383,11488,1
-95231,14288,64106,6
46238,80128,23196,6
78958,7114,45250,1
91043,3023,22276,2
23095,59225,54722,3
63621,67059,38828,7
-42369,80030,20792,3
-91897,46008,75225,2
41251,31325,48900,3
-35917,82893,30210,4
359446,53998,6672,7
41421,16870,45933,3
-40800,55569,70958,5
460283,34221,24550,1
-7089,40951,16657,2
25030,30668,22969,2
-66780,28021,58552,4
150529,35551,19710,4
-15049,36645,25962,7
51241,99942,66449,4
32550,22389,13989,1
18070,52588,17682,6
-104320,31628,13361,1
-963307,25095,37019,4
-71763,42297,71385,3
-61218,43980,5750,3
-15049,23311,78551,6
1082830,39286,8622,4
90397,88440,89371,3
60089,30077,20656,1
66399,36567,23474,5
-44402,97308,99301,6
97167,71727,34515,2
30471,62642,88771,2
45032,90242,75165,1
35328,83113,86662,1
11253,89820,23105,1
33528,39956,96076,4
-12188,45039,25515,5
60642,95070,71229,1
40657,95414,32111,4
96853,73022,34377,4
13857,50105,60240,2
1303064,55197,20194,6
30539,23849,2103,6
1491126,33421,97371,6
77507,66399,69325,2
15027,19950,64279,7
3219,22170,17,6
-81206,77432,41103,3
-1064614,39884,68361,6
35375,49079,43282,4
-1403601,44955,15990,4
-96824,44843,33200,4
-45607,54670,73480,5
-252834,63250,33051,3
15027,3926,77549,6
-20455,20893,10336,7
91002,62190,56754,2
-24833,55495,26383,2
25392,82014,60874,6
76972,25078,27939,7
-44939,19644,99876,2
33164,26120,89921,2
27363,17763,37700,6
1122932,81458,2480,7
-41770,29921,88338,5
-15049,71090,16027,1
53244,47806,65610,6
19137,5495,5825,6
459838,94728,94851,1
-5927,6024,99899,1
-58349,33749,22056,3
85980,36660,13324,5
-1554,25859,72558,4
-95515,72409,87405,7
-24687,47552,4500,1
48819,65860,77769,3
-79118,3667,35806,5
15820,50580,79023,5
-97748,50465,96636,6
-42427,94907,2926,2
-41912,90229,79456,1
79800,34841,38174,2
-9495,24370,2640,5
362105,73781,14417,4
-68895,70212,59793,2
-3809,81131,96799,6
15820,29679,66606,4
4058,1974,64743,5
4902,69391,59891,6
-40800,94495,36346,1
-9518,87440,64318,7
-6871,5343,96650,4
60748,16278,50126,7
96165,80680,13135,6
-91374,97946,9176,4
21697,91460,91652,4
-7142,27496,85752,4
-74268,48423,88878,2
-1201030,88525,57547,2
-15049,54101,11024,4
-42369,16045,85246,3
1002,82293,25724,4
545020,83,72580,2
15027,27301,7990,1
-31477,8141,17871,7
-90691,31849,60338,7
-67484,22750,28662,7
59638,87797,57866,4
33528,48556,23565,2
-95002,43163,12140,2
33217,23793,57524,7
-1568291,83675,48172,6
-718194,77537,77947,2
-15049,69505,20055,4
-42369,14406,29812,3
-66752,42065,89491,7
-597120,39092,50102,3
53244,11644,19887,2
-76634,68899,41858,5
549166,82030,78724,4
-82547,17901,68171,1
-80897,63854,49757,7
91559,43402,20845,2
73459,67774,54196,3
48559,9020,3441,4
6955,24840,30811,3
-556555,70887,11972,4
65978,58728,33357,5
74250,2158,43017,2
93636,23079,43911,1
-14577,10086,68686,5
96165,93318,87913,4
78397,21640,23912,4
995144,52021,3403,3
-91800,2042,59137,6
-22697,43509,93626,7
1419976,92965,15534,7
-367310,92337,63480,2
298981,2554,90738,6
53244,77751,88387,3
15027,88535,21096,5
1223125,50955,1690,6
-718194,20214,83501,3
222950,86952,13955,1
-16397,2476,13770,6
15027,75211,35729,1
55620,64963,10967,1
-87630,60585,67864,1
96165,94018,338,2
59364,22883,43549,1
-40944,36770,99952,6
93136,15926,77465,2
-589425,4649,99723,6
33842,76018,97531,2
-1328853,8271,52924,4
1759,4757,7786,5
-1518926,94477,32174,2
-16676,55329,35173,6
